,number,lat,long,zoom,Filepath,trampoline count,trampolines per km2
0,0,59.880001068115234,10.800000190734863,19,0_gmaps.txt,2.0,56.72540210503258
1,1,59.880001068115234,10.801716804504396,19,1_gmaps.txt,3.0,85.08810315754887
2,2,59.880001068115234,10.803433418273926,19,2_gmaps.txt,2.0,56.72540210503258
3,3,59.880001068115234,10.805150032043455,19,3_gmaps.txt,2.0,56.72540210503258
4,4,59.880001068115234,10.806866645812988,19,4_gmaps.txt,2.0,56.72540210503258
5,5,59.880001068115234,10.80858325958252,19,5_gmaps.txt,3.0,85.08810315754887
6,6,59.880001068115234,10.81029987335205,19,6_gmaps.txt,6.0,170.17620631509774
7,7,59.880001068115234,10.812016487121582,19,7_gmaps.txt,0.0,0.0
8,8,59.880001068115234,10.813733100891112,19,8_gmaps.txt,0.0,0.0
9,9,59.880001068115234,10.815449714660645,19,9_gmaps.txt,0.0,0.0
10,10,59.880001068115234,10.817166328430176,19,10_gmaps.txt,0.0,0.0
11,11,59.880001068115234,10.818882942199709,19,11_gmaps.txt,0.0,0.0
12,12,59.880001068115234,10.820599555969238,19,12_gmaps.txt,1.0,28.36270105251629
13,13,59.880001068115234,10.82231616973877,19,13_gmaps.txt,2.0,56.72540210503258
14,14,59.880001068115234,10.8240327835083,19,14_gmaps.txt,1.0,28.36270105251629
15,15,59.880001068115234,10.825749397277832,19,15_gmaps.txt,2.0,56.72540210503258
16,16,59.880001068115234,10.827466011047363,19,16_gmaps.txt,0.0,0.0
17,17,59.880001068115234,10.829182624816896,19,17_gmaps.txt,3.0,85.08810315754887
18,18,59.880001068115234,10.830899238586426,19,18_gmaps.txt,0.0,0.0
19,19,59.880001068115234,10.832615852355955,19,19_gmaps.txt,0.0,0.0
20,20,59.880001068115234,10.834332466125488,19,20_gmaps.txt,0.0,0.0
21,21,59.880001068115234,10.83604907989502,19,21_gmaps.txt,0.0,0.0
22,22,59.880001068115234,10.83776569366455,19,22_gmaps.txt,1.0,28.36270105251629
23,23,59.880001068115234,10.839482307434082,19,23_gmaps.txt,0.0,0.0
24,24,59.880001068115234,10.841198921203612,19,24_gmaps.txt,0.0,0.0
25,25,59.880001068115234,10.842915534973145,19,25_gmaps.txt,0.0,0.0
26,26,59.880001068115234,10.844632148742676,19,26_gmaps.txt,0.0,0.0
27,27,59.880001068115234,10.846348762512209,19,27_gmaps.txt,0.0,0.0
28,28,59.880001068115234,10.848065376281738,19,28_gmaps.txt,0.0,0.0
29,29,59.880001068115234,10.84978199005127,19,29_gmaps.txt,0.0,0.0
30,30,59.880001068115234,10.8514986038208,19,30_gmaps.txt,0.0,0.0
31,31,59.880001068115234,10.853215217590332,19,31_gmaps.txt,0.0,0.0
32,32,59.880001068115234,10.854931831359863,19,32_gmaps.txt,0.0,0.0
